ID_bien;Surface Carrez du 1er lot;Code type local;Type local;Nombre pieces principales;ID_commune
390;25.08;2;Appartement;2;390
391;26.41;2;Appartement;1;391
392;54.79;2;Appartement;4;392
393;42.72;2;Appartement;2;393
394;45.2;2;Appartement;2;394
395;44.24;2;Appartement;2;395
396;41.7;2;Appartement;1;396
397;46.21;2;Appartement;2;397
398;64.99;2;Appartement;3;398
399;97.07;1;Maison;4;399
400;27.5;2;Appartement;1;400
401;54.64;2;Appartement;3;401
402;44.2;2;Appartement;2;402
403;16.61;2;Appartement;1;403
404;46.42;2;Appartement;2;404
405;25.44;2;Appartement;2;405
406;17.31;2;Appartement;1;406
407;22.9;2;Appartement;1;407
408;46.93;2;Appartement;2;408
409;38.9;2;Appartement;2;409
410;152.65;2;Appartement;5;410
411;36.42;2;Appartement;1;411
412;25.95;2;Appartement;1;412
413;53.81;2;Appartement;2;413
414;30;2;Appartement;1;414
415;24.89;2;Appartement;2;415
416;45.22;2;Appartement;3;416
417;22.92;2;Appartement;1;417
418;11.43;2;Appartement;1;418
419;16.81;2;Appartement;1;419
420;68.19;2;Appartement;4;420
421;59.5;2;Appartement;3;421
422;28.4;2;Appartement;2;422
423;18.26;2;Appartement;1;423
424;28.9;1;Maison;3;424
425;25.9;2;Appartement;1;425
426;30;2;Appartement;1;426
427;29.85;2;Appartement;1;427
428;21.71;1;Maison;2;428
429;69.7;2;Appartement;4;429
430;60.28;2;Appartement;3;430
431;75.3;2;Appartement;3;431
432;26.09;2;Appartement;1;432
433;64.96;2;Appartement;2;433
434;17.6;2;Appartement;1;434
435;119.9;1;Maison;4;435
436;36.24;2;Appartement;2;436
437;25.35;2;Appartement;1;437
438;99.22;2;Appartement;4;438
439;28;2;Appartement;1;439
440;27.45;2;Appartement;1;440
441;245.13;1;Maison;8;441
442;56.04;2;Appartement;2;442
443;50.05;2;Appartement;2;443
444;20.5;1;Maison;1;444
445;25.4;1;Maison;4;445
446;130.2;2;Appartement;5;446
447;17.14;2;Appartement;1;447
448;56.19;2;Appartement;3;448
449;50.04;1;Maison;2;449
450;37.71;2;Appartement;1;450
451;119.4;2;Appartement;5;451
452;67.58;2;Appartement;4;452
453;46.78;2;Appartement;2;453
454;19.15;2;Appartement;1;454
455;23.69;2;Appartement;1;455
456;56.2;2;Appartement;4;456
457;59.6;2;Appartement;4;457
458;44.71;2;Appartement;2;458
459;62.38;2;Appartement;3;459
460;49.61;2;Appartement;3;460
461;55.76;2;Appartement;1;461
462;80.48;1;Maison;4;462
463;26.52;2;Appartement;1;463
464;29.33;2;Appartement;1;464
465;45.08;2;Appartement;2;465
466;72.72;2;Appartement;6;466
467;35.18;2;Appartement;2;467
468;25.61;2;Appartement;2;468
469;32;2;Appartement;2;469
470;69.45;2;Appartement;3;470
471;78.84;2;Appartement;4;471
472;37.09;2;Appartement;2;472
473;65.39;2;Appartement;3;473
474;47.48;2;Appartement;2;474
475;26.1;2;Appartement;1;475
476;40.92;2;Appartement;1;476
477;26;2;Appartement;1;477
478;67;2;Appartement;4;478
479;56.5;2;Appartement;3;479
480;38.5;2;Appartement;2;480
481;42.7;2;Appartement;2;481
482;16.7;2;Appartement;1;482
483;0.4;2;Appartement;1;483
484;59.66;1;Maison;3;484
485;21.2;2;Appartement;1;485
486;43.36;2;Appartement;2;486
487;56.81;2;Appartement;3;487
488;43.33;2;Appartement;3;488
489;32.8;2;Appartement;2;489
490;15.42;2;Appartement;1;490
491;24.64;2;Appartement;1;491
492;28.5;2;Appartement;2;492
493;66.45;2;Appartement;2;493
494;59.9;2;Appartement;3;494
495;54.99;2;Appartement;3;495
496;18.04;2;Appartement;1;496
497;28.56;2;Appartement;1;497
498;23.66;2;Appartement;1;498
499;121.56;2;Appartement;5;499
500;30.72;2;Appartement;2;500
501;32.97;2;Appartement;2;501
502;28.61;2;Appartement;1;502
503;30.74;2;Appartement;2;503
504;30.59;2;Appartement;1;504
505;33.5;2;Appartement;2;505
506;30.52;2;Appartement;2;506
507;51.85;2;Appartement;2;507
508;63.2;2;Appartement;2;508
509;23.08;2;Appartement;3;509
510;86.49;1;Maison;3;510
511;36.44;2;Appartement;2;511
512;28.96;2;Appartement;2;512
513;26.42;2;Appartement;1;513
514;49.06;2;Appartement;2;514
515;100.11;1;Maison;5;515
516;89.03;1;Maison;4;516
517;43.44;2;Appartement;2;517
518;119.95;2;Appartement;4;518
519;25.1;2;Appartement;4;519
520;49.55;2;Appartement;3;520
521;26.62;2;Appartement;1;521
522;28.79;2;Appartement;2;522
523;18.63;2;Appartement;1;523
524;14;2;Appartement;4;524
525;16.99;2;Appartement;1;525
526;68.23;2;Appartement;3;526
527;21.48;2;Appartement;2;527
528;16.9;2;Appartement;1;528
529;101.99;2;Appartement;4;529
530;54.25;2;Appartement;3;530
531;26.78;2;Appartement;1;531
532;27.06;2;Appartement;1;532
533;34.97;2;Appartement;2;533
534;18.45;2;Appartement;1;534
535;39.3;2;Appartement;3;535
536;35.51;2;Appartement;2;536
537;52.24;2;Appartement;2;537
538;14.33;2;Appartement;1;538
539;49.21;2;Appartement;2;539
540;39.2;2;Appartement;3;540
541;30.34;2;Appartement;1;541
542;28.32;2;Appartement;1;542
543;99.04;2;Appartement;4;543
544;30.2;2;Appartement;3;544
545;80.25;2;Appartement;3;545
546;72.25;2;Appartement;4;546
547;19.23;2;Appartement;1;547
548;56.45;2;Appartement;2;548
549;18.02;2;Appartement;1;549
550;32.83;2;Appartement;2;550
551;48.23;2;Appartement;2;551
552;34.04;2;Appartement;1;552
553;36.26;2;Appartement;2;553
554;69;2;Appartement;3;554
555;45.5;2;Appartement;2;555
556;13.69;2;Appartement;1;556
557;68.75;2;Appartement;3;557
558;34.31;2;Appartement;2;558
559;68.35;2;Appartement;3;559
560;114.78;2;Appartement;4;560
561;30.76;2;Appartement;1;561
562;78.45;2;Appartement;4;562
563;64.25;2;Appartement;2;563
564;118.14;2;Appartement;5;564
565;133.44;2;Appartement;4;565
566;96;2;Appartement;4;566
567;28.32;2;Appartement;1;567
568;93.6;2;Appartement;3;568
569;79.48;2;Appartement;2;569
570;19.88;2;Appartement;1;570
571;43.48;2;Appartement;1;571
572;90.1;2;Appartement;3;572
573;19.11;2;Appartement;1;573
