ID_Emplacement;Adresse;Code postal;Commune;Code departement
3974;1900 VICTOR HUGO;17600;SAUJON;17
3975;1320 EUGENE PELLETAN;17100;SAINTES;17
3976;140 DES BANCS;17400;ST JEAN D'ANGELY;17
3977;2340 MOLIERE;18100;VIERZON;18
3978;3250 DE JURANVILLE;18000;BOURGES;18
3979;3470 DE LINIERES;18000;BOURGES;18
3980;3060 JEAN JACQUES ROUSSEAU;18000;BOURGES;18
3981;3060 JEAN JACQUES ROUSSEAU;18000;BOURGES;18
3982;2070 DE LA LIBERTE;18100;VIERZON;18
3983;2870 HENRI SELLIER;18000;BOURGES;18
3984;528 JACQUES BONNAFE;18400;SAINT-FLORENT-SUR-CHER;18
3985;3060 JEAN JACQUES ROUSSEAU;18000;BOURGES;18
3986;940 CATHERINOT;18000;BOURGES;18
3987;2870 HENRI SELLIER;18000;BOURGES;18
3988;2200 MARCEL SEMBAT;18100;VIERZON;18
3989;1840 JEAN BAPTISTE CLEMENT;18100;VIERZON;18
3990;280 AVARICUM;18000;BOURGES;18
3991;1910 EDOUARD VAILLANT;18000;BOURGES;18
3992;2740 PIERRE SEMARD;18100;VIERZON;18
3993;250 D AURON;18000;BOURGES;18
3994;690 BOURBONNOUX;18000;BOURGES;18
3995;3490 LITTRE;18000;BOURGES;18
3996;1460 DU COMMERCE;18000;BOURGES;18
3997;2602 DU GRAND MAZIERES;18000;BOURGES;18
3998;5210 RONSARD;18000;BOURGES;18
3999;2910 DE L ILE D OR;18000;BOURGES;18
4000;5670 DE TURLY;18000;BOURGES;18
4001;340 BARBES;18000;BOURGES;18
4002;2221 FRANCOIS MITTERRAND;18000;BOURGES;18
4003;170 DES ARENES;18000;BOURGES;18
4004;2070 DE LA LIBERTE;18100;VIERZON;18
4005;4260 NOTRE DAME;18000;BOURGES;18
4006;5670 DE TURLY;18000;BOURGES;18
4007;18 DE L ANNAIN;18500;MEHUN-SUR-YEVRE;18
4008;3500 DE LORROY;18000;BOURGES;18
4009;4418 PAUL COMMENGE;18000;BOURGES;18
4010;3554 LOUIS MALLET;18000;BOURGES;18
4011;5060 DES QUATRE PILIERS;18000;BOURGES;18
4012;690 BOURBONNOUX;18000;BOURGES;18
4013;680 DU BOUILLET;18000;BOURGES;18
4014;200 DES RAINETTES;18570;MORTHOMIERS;18
4015;3160 JEANNE DE FRANCE;18000;BOURGES;18
4016;2910 DE L ILE D OR;18000;BOURGES;18
4017;5850 VOLTA;18000;BOURGES;18
4018;3250 DE JURANVILLE;18000;BOURGES;18
4019;5530 SOUS LES CEPS;18000;BOURGES;18
4020;5472 DE SERAUCOURT;18000;BOURGES;18
4021;2040 FAIDHERBE;18000;BOURGES;18
4022;4020 MIREBEAU;18000;BOURGES;18
4023;2910 DE L ILE D OR;18000;BOURGES;18
4024;1140 CHARLES 7;18000;BOURGES;18
4025;2510 G CLEMENCEAU;18000;BOURGES;18
4026;1610 COURSARLON;18000;BOURGES;18
4027;2320 GAMBON;18000;BOURGES;18
4028;195 ARTHUR RIMBAUD;18000;BOURGES;18
4029;4020 MIREBEAU;18000;BOURGES;18
4030;2710 PIERRE DEBOURNOU;18100;VIERZON;18
4031;2970 JACQUES COEUR;18000;BOURGES;18
4032;65 AGNES SOREL;18000;BOURGES;18
4033;0 LES AVINAUX;18500;ALLOUIS;18
4034;2080 FERNAULT;18000;BOURGES;18
4035;3813 MARTIN SIEMENS;18000;BOURGES;18
4036;3080 JEAN JAURES;18000;BOURGES;18
4037;4467 PELLETIER DOISY;18000;BOURGES;18
4038;988 DU MARCHE;18200;SAINT-AMAND-MONTROND;18
4039;1110 NATIONALE;18200;SAINT-AMAND-MONTROND;18
4040;893 SAINTE ANNE;18700;AUBIGNY-SUR-NERE;18
4041;412 LE PASSAGE DES FEES;19260;TREIGNAC;19
4042;3510 WINSTON CHURCHILL;19000;TULLE;19
4043;950 DU DOC VALETTE;19000;TULLE;19
4044;2890 QU DE LA REPUBLIQUE;19000;TULLE;19
4045;570 GAMBETTA;19200;USSEL;19
4046;1510 JEAN JAURES;19000;TULLE;19
4047;1410 GUYNEMER;19000;TULLE;19
4048;2230 D ESPAGNAC;19100;BRIVE LA GAILLARDE;19
4049;4410 MAL FOCH;19100;BRIVE LA GAILLARDE;19
4050;170 ALSACE LORRAINE;19100;BRIVE LA GAILLARDE;19
4051;922 DE BRAMEFOND;19100;BRIVE LA GAILLARDE;19
4052;1310 CHARLES GOBERT;19100;BRIVE LA GAILLARDE;19
4053;2150 EMILE ZOLA;19100;BRIVE LA GAILLARDE;19
4054;4921 DU 11 NOVEMBRE 1918;19100;BRIVE LA GAILLARDE;19
4055;0 IMP DES VIEUX CHENES;19270;USSAC;19
4056;1880 DOC ROUX;19100;BRIVE LA GAILLARDE;19
4057;1850 DOC BARDON;19100;BRIVE LA GAILLARDE;19
4058;4670 MICHEL LABROUSSE;19100;BRIVE LA GAILLARDE;19
4059;68 DU MIDI;19230;SAINT-SORNIN-LAVOLPS;19
4060;4160 LOUIS MIE;19100;BRIVE LA GAILLARDE;19
4061;1630 DE LA CONCORDE;19100;BRIVE LA GAILLARDE;19
4062;5820 DE LA REPUBLIQUE;19100;BRIVE LA GAILLARDE;19
4063;1630 DE LA CONCORDE;19100;BRIVE LA GAILLARDE;19
4064;2230 D ESPAGNAC;19100;BRIVE LA GAILLARDE;19
4065;4410 MAL FOCH;19100;BRIVE LA GAILLARDE;19
4066;2390 FERNAND DELMAS;19100;BRIVE LA GAILLARDE;19
4067;4120 LOUIS CHADOURNE;19100;BRIVE LA GAILLARDE;19
4068;6460 TURGOT;19100;BRIVE LA GAILLARDE;19
4069;173 GEORGES SAND;19360;MALEMORT;19
4070;29 DU HUIT MAI;19270;SAINTE FEREOLE;19
4071;3410 JEAN FIEYRE;19100;BRIVE LA GAILLARDE;19
4072;2524 FRANCOIS MIALET;19100;BRIVE LA GAILLARDE;19
4073;4846 DU NANY;19100;BRIVE LA GAILLARDE;19
4074;3450 JEAN JAURES;19100;BRIVE LA GAILLARDE;19
4075;3745 LA FONTAINE;19100;BRIVE LA GAILLARDE;19
4076;4846 DU NANY;19100;BRIVE LA GAILLARDE;19
4077;3920 LEON BLUM;19100;BRIVE LA GAILLARDE;19
4078;5540 PROUDHON;19100;BRIVE LA GAILLARDE;19
4079;2720 GALILEE;19100;BRIVE LA GAILLARDE;19
4080;2890 GAL SOUHAM;19100;BRIVE LA GAILLARDE;19
4081;171 GEORGES BRASSENS;19360;MALEMORT;19
4082;1630 DE LA CONCORDE;19100;BRIVE LA GAILLARDE;19
4083;4410 MAL FOCH;19100;BRIVE LA GAILLARDE;19
4084;6850 DU PETIT BERNARD;21000;DIJON;21
4085;360 DE L ATLANTIQUE;22000;SAINT-BRIEUC;22
4086;126 FOCH;22430;ERQUY;22
4087;610 DU VAL;22400;LAMBALLE-ARMOR;22
4088;320 DE LA REPUBLIQUE;22170;CHATELAUDREN-PLOUAGAT;22
4089;1490 DU GUESCLIN;22000;SAINT-BRIEUC;22
4090;267 FRANCOIS MARIE LUZEL;22360;LANGUEUX;22
4091;3990 DE ROHAN;22000;SAINT-BRIEUC;22
4092;933 JEAN JAURES;22440;PLOUFRAGAN;22
4093;138 DE POULDOURAN;22580;PLOUHA;22
4094;290 DU DOCTEUR MONJARRET;22500;PAIMPOL;22
4095;2040 DE GOUET;22000;SAINT-BRIEUC;22
4096;280 CHARLES COTARD;22370;PLENEUF-VAL-ANDRE;22
4097;1300 DU PONT NEUF;22370;PLENEUF-VAL-ANDRE;22
4098;470 DE LA POSTE;22360;LANGUEUX;22
4099;266 NOTRE DAME;22430;ERQUY;22
