ID_commune;Code postal;Commune;Code departement;ID_adresse
20372;83400;HYERES;83;20372
20373;83400;HYERES;83;20373
20374;83260;LA CRAU;83;20374
20375;83210;LA FARLEDE;83;20375
20376;83210;LA FARLEDE;83;20376
20377;83390;PUGET-VILLE;83;20377
20378;83190;OLLIOULES;83;20378
20379;83400;HYERES;83;20379
20380;83400;HYERES;83;20380
20381;83400;HYERES;83;20381
20382;83230;BORMES-LES-MIMOSAS;83;20382
20383;83270;SAINT-CYR-SUR-MER;83;20383
20384;83400;HYERES;83;20384
20385;83110;SANARY SUR MER;83;20385
20386;83400;HYERES;83;20386
20387;83400;HYERES;83;20387
20388;83190;OLLIOULES;83;20388
20389;83390;CUERS;83;20389
20390;83320;CARQUEIRANNE;83;20390
20391;83330;EVENOS;83;20391
20392;83110;SANARY SUR MER;83;20392
20393;83400;HYERES;83;20393
20394;83390;PIERREFEU-DU-VAR;83;20394
20395;83400;HYERES;83;20395
20396;83110;SANARY SUR MER;83;20396
20397;83210;SOLLIES-PONT;83;20397
20398;83150;BANDOL;83;20398
20399;83110;SANARY SUR MER;83;20399
20400;83250;LA LONDE LES MAURES;83;20400
20401;83110;SANARY SUR MER;83;20401
20402;83250;LA LONDE LES MAURES;83;20402
20403;83230;BORMES-LES-MIMOSAS;83;20403
20404;83250;LA LONDE LES MAURES;83;20404
20405;83190;OLLIOULES;83;20405
20406;83260;LA CRAU;83;20406
20407;83150;BANDOL;83;20407
20408;83190;OLLIOULES;83;20408
20409;83320;CARQUEIRANNE;83;20409
20410;83260;LA CRAU;83;20410
20411;83190;OLLIOULES;83;20411
20412;83150;BANDOL;83;20412
20413;83270;SAINT-CYR-SUR-MER;83;20413
20414;83110;SANARY SUR MER;83;20414
20415;83190;OLLIOULES;83;20415
20416;83150;BANDOL;83;20416
20417;83150;BANDOL;83;20417
20418;83400;HYERES;83;20418
20419;83260;LA CRAU;83;20419
20420;83210;BELGENTIER;83;20420
20421;83230;BORMES-LES-MIMOSAS;83;20421
20422;83150;BANDOL;83;20422
20423;83150;BANDOL;83;20423
20424;83110;SANARY SUR MER;83;20424
20425;83250;LA LONDE LES MAURES;83;20425
20426;83400;HYERES;83;20426
20427;83980;LE LAVANDOU;83;20427
20428;83390;PIERREFEU-DU-VAR;83;20428
20429;83250;LA LONDE LES MAURES;83;20429
20430;83980;LE LAVANDOU;83;20430
20431;83250;LA LONDE LES MAURES;83;20431
20432;83150;BANDOL;83;20432
20433;83400;HYERES;83;20433
20434;83150;BANDOL;83;20434
20435;83110;SANARY SUR MER;83;20435
20436;83210;SOLLIES-VILLE;83;20436
20437;83110;SANARY SUR MER;83;20437
20438;83250;LA LONDE LES MAURES;83;20438
20439;83320;CARQUEIRANNE;83;20439
20440;83150;BANDOL;83;20440
20441;83150;BANDOL;83;20441
20442;83270;SAINT-CYR-SUR-MER;83;20442
20443;83260;LA CRAU;83;20443
20444;83210;SOLLIES-TOUCAS;83;20444
20445;83150;BANDOL;83;20445
20446;83390;PIERREFEU-DU-VAR;83;20446
20447;83150;BANDOL;83;20447
20448;83330;LE BEAUSSET;83;20448
20449;83270;SAINT-CYR-SUR-MER;83;20449
20450;83210;SOLLIES-PONT;83;20450
20451;83110;SANARY SUR MER;83;20451
20452;83250;LA LONDE LES MAURES;83;20452
20453;83250;LA LONDE LES MAURES;83;20453
20454;83110;SANARY SUR MER;83;20454
20455;83150;BANDOL;83;20455
20456;83230;BORMES-LES-MIMOSAS;83;20456
20457;83330;LE BEAUSSET;83;20457
20458;83400;HYERES;83;20458
20459;83400;HYERES;83;20459
20460;83320;CARQUEIRANNE;83;20460
20461;83110;SANARY SUR MER;83;20461
20462;83660;CARNOULES;83;20462
20463;83230;BORMES-LES-MIMOSAS;83;20463
20464;83980;LE LAVANDOU;83;20464
20465;83400;HYERES;83;20465
20466;83270;SAINT-CYR-SUR-MER;83;20466
20467;83110;SANARY SUR MER;83;20467
20468;83190;OLLIOULES;83;20468
20469;83230;BORMES-LES-MIMOSAS;83;20469
20470;83190;OLLIOULES;83;20470
20471;83980;LE LAVANDOU;83;20471
20472;83390;CUERS;83;20472
20473;83230;BORMES-LES-MIMOSAS;83;20473
20474;83980;LE LAVANDOU;83;20474
