ID_vente;Date mutation;Valeur fonciere;ID_bien
911;2020-05-25;163000;911
912;2020-06-09;295000;912
913;2020-06-02;1000000;913
914;2020-06-03;175000;914
915;2020-06-10;365000;915
916;2020-06-08;179000;916
917;2020-06-09;129600;917
918;2020-06-04;127000;918
919;2020-06-12;153000;919
920;2020-05-29;317000;920
921;2020-06-15;225000;921
922;2020-06-23;230000;922
923;2020-06-22;145750;923
924;2020-06-09;95000;924
925;2020-06-10;65500;925
926;2020-06-15;184414;926
927;2020-06-16;245000;927
928;2020-06-22;205358;928
929;2020-06-05;390000;929
930;2020-06-12;229000;930
931;2020-06-23;96000;931
932;2020-06-25;205000;932
933;2020-06-18;383000;933
934;2020-06-15;259000;934
935;2020-06-25;235000;935
936;2020-06-26;112000;936
937;2020-06-23;285000;937
938;2020-06-05;137000;938
939;2020-06-25;335000;939
940;2020-06-12;240550;940
941;2020-06-25;29500;941
942;2020-06-17;140000;942
943;2020-06-25;190000;943
944;2020-06-18;123000;944
945;2020-06-29;99551;945
946;2020-06-23;150000;946
947;2020-06-26;132000;947
948;2020-06-29;80000;948
949;2020-06-23;348345;949
950;2020-06-24;215000;950
951;2020-06-23;98000;951
952;2020-06-25;218000;952
953;2020-06-29;145000;953
954;2020-06-26;233050;954
955;2020-01-06;335000;955
956;2020-01-20;359000;956
957;2020-01-16;117500;957
958;2020-01-14;153000;958
959;2020-01-09;474801;959
960;2020-01-14;167500;960
961;2020-01-14;750000;961
962;2020-01-06;81000;962
963;2020-01-07;405000;963
964;2020-01-15;135000;964
965;2020-01-16;294000;965
966;2020-01-07;198000;966
967;2020-01-14;193000;967
968;2020-01-09;174000;968
969;2020-01-21;146000;969
970;2020-01-31;100000;970
971;2020-01-21;327000;971
972;2020-01-07;233000;972
973;2020-01-28;199900;973
974;2020-02-07;106000;974
975;2020-01-17;260000;975
976;2020-01-23;140500;976
977;2020-01-24;382000;977
978;2020-01-24;92500;978
979;2020-02-07;208000;979
980;2020-01-20;128000;980
981;2020-02-13;45000;981
982;2020-02-04;70000;982
983;2020-01-29;304560;983
984;2020-01-17;175000;984
985;2020-02-11;50000;985
986;2020-02-19;314000;986
987;2020-02-13;225000;987
988;2020-02-14;114500;988
989;2020-01-27;157000;989
