ID_Emplacement;Adresse;Code_post;Commune;Code_dept
19678;DES LILAS 634;82290;LA VILLE DIEU DU TEMPLE;82
19679;HENRI MARRE 3740;82000;MONTAUBAN;82
19680;ETAMPES 2760;82000;MONTAUBAN;82
19681;LAGRAVERE 4210;82000;MONTAUBAN;82
19682;MILA 5160;82000;MONTAUBAN;82
19683;DU FORT 3090;82000;MONTAUBAN;82
19684;DE LEOJAC 4618;82000;MONTAUBAN;82
19685;ALEXANDRE 1ER 104;82000;MONTAUBAN;82
19686;CHAMIER 1820;82000;MONTAUBAN;82
19687;DE LA COMEDIE 2210;82000;MONTAUBAN;82
19688;ERIK SATIE 456;82300;CAUSSADE;82
19689;ANTONIN DELZERS 60;82100;CASTELSARRASIN;82
19690;AUGUSTE COMTE 283;82000;MONTAUBAN;82
19691;DE LA MANCENQUE 222;82600;VERDUN-SUR-GARONNE;82
19692;DE LA COMEDIE 2210;82000;MONTAUBAN;82
19693;DE LA GAITE 906;82100;CASTELSARRASIN;82
19694;DE NOTRE DAME D ALEM 1561;82100;CASTELSARRASIN;82
19695;PIERRE BONHOURE 820;82290;MONTBETON;82
19696;DES FONTAINES 3068;82000;MONTAUBAN;82
19697;NAUZES 0;82170;GRISOLLES;82
19698;GINETTE AUGIER 3492;82000;MONTAUBAN;82
19699;DE LA COMEDIE 2210;82000;MONTAUBAN;82
19700;DELACROIX 2468;82000;MONTAUBAN;82
19701;DES LILAS 634;82290;LA VILLE DIEU DU TEMPLE;82
19702;BARBAZAN 430;82000;MONTAUBAN;82
19703;DE LA VITARELLE 8031;82000;MONTAUBAN;82
19704;DE LA GAITE 906;82100;CASTELSARRASIN;82
19705;DE LEOJAC 4618;82000;MONTAUBAN;82
19706;ALEXANDRE 1ER 104;82000;MONTAUBAN;82
19707;LASSUS 4550;82000;MONTAUBAN;82
19708;DU 11 EME REGIMENT INF 5602;82000;MONTAUBAN;82
19709;DES TOURNESOLS 257;82170;GRISOLLES;82
19710;COTE SAINT LAURENT 4160;82200;MOISSAC;82
19711;GRAND RUE VILLENOUVELLE 8010;82000;MONTAUBAN;82
19712;DU PRE 6560;82000;MONTAUBAN;82
19713;GINETTE AUGIER 3492;82000;MONTAUBAN;82
19714;DE L AVEYRON 333;82000;MONTAUBAN;82
19715;DU DOCTEUR LABAT 2570;82000;MONTAUBAN;82
19716;D AURIASQUE 157;83600;FREJUS;83
19717;VIEILLE HALLE 2780;83300;DRAGUIGNAN;83
19718;DES LANTANAS 1337;83600;FREJUS;83
19719;GRAND RUE 95;83310;GRIMAUD;83
19720;HENRI CHRISTINE 1468;83700;SAINT RAPHAEL;83
19721;DE LA GISCLE 85;83310;GRIMAUD;83
19722;LES MARINES DE COGOLIN 0;83310;COGOLIN;83
19723;DE LA PAIX 2145;83700;SAINT RAPHAEL;83
19724;DE L'ESTAGNET 368;83990;SAINT TROPEZ;83
19725;LES MARINES DE COGOLIN 0;83310;COGOLIN;83
19726;HOLIDAY 0;83990;SAINT TROPEZ;83
19727;BOUGNON 0;83380;ROQUEBRUNE-SUR-ARGENS;83
19728;ROGER LOUIS 1850;83600;FREJUS;83
19729;LES MARINES DE COGOLIN 0;83310;COGOLIN;83
19730;LES MAS DE GIGARO 0;83420;LA CROIX VALMER;83
19731;JEAN MOULIN 1615;83700;SAINT RAPHAEL;83
19732;AURELIENNE 310;83700;SAINT RAPHAEL;83
19733;DE CASABIANCA 183;83120;SAINTE MAXIME;83
19734;GENERAL LECLERC 490;83990;SAINT TROPEZ;83
19735;DU PARC ARUNDO 143;83600;FREJUS;83
19736;DU COMBAT 550;83300;DRAGUIGNAN;83
19737;OLIVIERS HAUTS ISSAMBRES 0;83380;ROQUEBRUNE-SUR-ARGENS;83
19738;ANCIEN TRAIN DES PIGNES 120;83380;ROQUEBRUNE-SUR-ARGENS;83
19739;DE LA LIBERTE 1570;83300;DRAGUIGNAN;83
19740;DES VOILIERS 280;83310;GRIMAUD;83
19741;ALBERT EINAUDI 40;83600;FREJUS;83
19742;DES FOURQUES 905;83520;ROQUEBRUNE-SUR-ARGENS;83
19743;DU GOURBENET 520;83420;LA CROIX VALMER;83
19744;DE SAINT EXUPERY 1920;83600;FREJUS;83
19745;CHARLES DE GAULLE 408;83120;SAINTE MAXIME;83
19746;VICTOR HUGO 2180;83600;FREJUS;83
19747;LA COLLINE VALMER 0;83420;LA CROIX VALMER;83
19748;DE LA CORNICHE 940;83700;SAINT RAPHAEL;83
19749;LES PEYROUAS 0;83490;LE MUY;83
19750;ANTOINE-PAULIN JUBERT 293;83480;PUGET-SUR-ARGENS;83
19751;PAUL ROUSSEL 858;83990;SAINT TROPEZ;83
19752;SALAGRUE 0;83350;RAMATUELLE;83
19753;DES OLIVIERS CAP ESTEREL 2095;83530;SAINT RAPHAEL;83
19754;HYPPOLITE MEGE MOURRIES 1245;83300;DRAGUIGNAN;83
19755;LEON GAUMONT 485;83120;SAINTE MAXIME;83
19756;ANDRE LEOTARD 108;83600;FREJUS;83
19757;ALBERT EINAUDI 40;83600;FREJUS;83
19758;LES MARINES DE COGOLIN 0;83310;COGOLIN;83
19759;LES RESTANQUES GOLFE ST TR 0;83310;GRIMAUD;83
19760;DES ALLIES 20;83240;CAVALAIRE-SUR-MER;83
19761;DU MARCHE 145;83310;GRIMAUD;83
19762;LES COTEAUX DE LA NARTELLE 0;83120;SAINTE MAXIME;83
19763;GRAND RUE 95;83310;GRIMAUD;83
19764;JACQUES BAUDINO 375;83700;SAINT RAPHAEL;83
19765;ANDRE LEOTARD 108;83600;FREJUS;83
19766;DU SUVERET 2030;83600;FREJUS;83
19767;LE CARRY 0;83310;COGOLIN;83
19768;DU SUVERET 2030;83600;FREJUS;83
19769;DE BRETAGNE 585;83700;SAINT RAPHAEL;83
19770;TETE DE BOEUF 2610;83300;DRAGUIGNAN;83
19771;DE VERDUN 990;83120;SAINTE MAXIME;83
19772;DEPART 8 COL DU BOUGNON 712;83520;ROQUEBRUNE-SUR-ARGENS;83
19773;NOEL JEAN 400;83480;PUGET-SUR-ARGENS;83
19774;HECTOR BERLIOZ 1123;83370;FREJUS;83
19775;VIEILLE HALLE 2780;83300;DRAGUIGNAN;83
19776;GEORGES CLEMENCEAU 420;83120;SAINTE MAXIME;83
19777;DE L ANCIEN THEATRE 40;83300;DRAGUIGNAN;83
19778;DES QUATRE VENTS 2472;83520;ROQUEBRUNE-SUR-ARGENS;83
19779;DES VIRGILES 1031;83120;SAINTE MAXIME;83
19780;JEAN CORONA 465;83120;SAINTE MAXIME;83
19781;CARNOT 230;83990;SAINT TROPEZ;83
19782;BARBES 100;83490;LE MUY;83
19783;DES CISTES 579;83520;ROQUEBRUNE-SUR-ARGENS;83
19784;DU DOCTEUR SIGALLAS 300;83120;SAINTE MAXIME;83
19785;DES PORTES DU SOLEIL 1682;83600;FREJUS;83
19786;GEORGES CISSON 1120;83300;DRAGUIGNAN;83
19787;DE SIGALON 125;83600;LES ADRETS DE L ESTEREL;83
19788;GENERAL LECLERC 410;83120;SAINTE MAXIME;83
19789;DES VIRGILES 1031;83120;SAINTE MAXIME;83
19790;DE VALESCURE 3040;83700;SAINT RAPHAEL;83
19791;LE GRAND FOC 0;83240;CAVALAIRE-SUR-MER;83
19792;DES SAUGES 1985;83600;FREJUS;83
19793;DES CANISSONS 147;83240;CAVALAIRE-SUR-MER;83
19794;DE LA LIBERTE 1570;83300;DRAGUIGNAN;83
19795;DE CLEOPATRE 570;83600;FREJUS;83
19796;DE TRIBERG 2085;83600;FREJUS;83
19797;NOEL JEAN 400;83480;PUGET-SUR-ARGENS;83
19798;DU PLAN DE LA TOUR 720;83120;SAINTE MAXIME;83
19799;DE LA ROUQUAIRE 125;83600;BAGNOLS-EN-FORET;83
19800;DE PROVENCE 1710;83600;FREJUS;83
19801;L AMPHITRITE 0;83310;GRIMAUD;83
19802;DES NEREIDES 368;83240;CAVALAIRE-SUR-MER;83
19803;PLEIN SOLEIL 0;83310;COGOLIN;83
19804;DEI COUQUIHAGE 628;83600;FREJUS;83
19805;ARMAND DUVIVIER 742;83600;FREJUS;83
19806;LES RESTANQUES GOLFE ST TR 0;83310;GRIMAUD;83
19807;DE LA MAIN DE FER 1590;83300;DRAGUIGNAN;83
19808;FREDERIC MISTRAL 200;83480;PUGET-SUR-ARGENS;83
19809;LES COTEAUX DE LA NARTELLE 0;83120;SAINTE MAXIME;83
19810;DE CHATEAUDUN 780;83700;SAINT RAPHAEL;83
19811;DES ANGLAIS 200;83700;SAINT RAPHAEL;83
19812;LE DOMAINE DES VIGNES 0;83310;COGOLIN;83
19813;AURELIENNE 310;83700;SAINT RAPHAEL;83
19814;SAINT PONS 0;83310;GRIMAUD;83
19815;DE LA GRANDE ARMEE 1143;83300;DRAGUIGNAN;83
19816;DU COURTIOU 640;83300;DRAGUIGNAN;83
19817;GENERAL DE GAULLE 1100;83520;ROQUEBRUNE-SUR-ARGENS;83
19818;DEPARTEMENTALE 7 DU MUY 711;83520;ROQUEBRUNE-SUR-ARGENS;83
19819;DE LA RESISTANCE 570;83310;COGOLIN;83
19820;DES VIVARDS 520;83240;CAVALAIRE-SUR-MER;83
19821;GRANDE RUE 1150;83300;DRAGUIGNAN;83
19822;IMM LES CAPUCINS 0;83990;SAINT TROPEZ;83
19823;DE LA CORNICHE 940;83700;SAINT RAPHAEL;83
19824;36 E DI DU TEXAS 3010;83530;SAINT RAPHAEL;83
19825;SOUS BARRY 41;83570;ENTRECASTEAUX;83
